id,filename,url,title,date,agency,author,requester,request_type,topic,status,notes,needs_review
1,mopo-001.pdf,https://archive.org/details/mopo-001,"Heather Tazalla (Crusoe) emails Callaway Commission — March 26, 2026",26-Mar-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,Heather Tazalla (Crusoe) emails Callaway Commission; brief scheduling exchange.,
2,mopo-002.pdf,https://archive.org/details/mopo-002,"Callaway Commission internal email — March 26, 2026",26-Mar-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission internal note declining availability due to MAC Legislative Days (April 14-15).,
3,mopo-003.pdf,https://archive.org/details/mopo-003,"Callaway Commission responds to Crusoe team ahead of April meeting — March 27, 2026",27-Mar-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission introduces Lucas Workman (Crusoe economic development/government affairs) to the group ahead of his April 14 Missouri visit.,
4,mopo-004.pdf,https://archive.org/details/mopo-004,"Crusoe team follows up with Callaway Commission on site visit planning — April 2, 2026",2-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Conor Bates-Janigo (Crusoe) follows up with Callaway Commission on site visit logistics; copies Tazalla, Workman, Brady, and George.",
5,mopo-005.pdf,https://archive.org/details/mopo-005,"Callaway Commission confirms 9:30-10AM arrival time for Crusoe visit — April 2, 2026",2-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission confirms Crusoe team will arrive around 9:30-10AM for the site visit.,
6,mopo-006.pdf,https://archive.org/details/mopo-006,"Callaway Commission confirms receipt of Crusoe meeting details — April 2, 2026",2-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission confirms receipt of Crusoe's meeting details.,
7,mopo-007.pdf,https://archive.org/details/mopo-007,"Calendar invite: Crusoe Follow Up meeting, Commission Office — April 2, 2026",14-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Calendar record for a Crusoe Follow Up meeting at the Commission Office, 10 East 5th Street, Room 301, Fulton, MO.",
8,mopo-008.pdf,,Crusoe introduces Lucas Workman to Callaway Commission,2-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Introduction of Lucas Workman (Crusoe) to the Commission, reiterating his April 14 Missouri visit and role on Crusoe's government affairs team.",
9,mopo-009.pdf,,"Commissioner Christopher Scott accepts Crusoe follow-up meeting invite — April 2, 2026",2-Apr-26,Callaway County Commissioners,Christopher Scott,Missouri Protest Organization,Sunshine Request,Data Center,Received,Commissioner Christopher Scott accepts the Crusoe Follow Up meeting invite.,
10,mopo-010.pdf,,Callaway Commission contact information and introduction to Crusoe team members,26-Mar-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission contact information (fax, email, website) shared alongside introduction of Lucas Workman to additional contacts (Brady, George).",
11,mopo-011.pdf,,"Callaway Commission responds to Crusoe scheduling request — April 2, 2026",2-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission confirms the Crusoe Follow Up meeting invite.,
12,mopo-012.pdf,,"Crusoe requests Commissioners travel to Abilene, TX for site tour — April 2026",26-Mar-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Commission states Commissioners are only available until 11:00am on April 14, and lists alternate travel dates (April 16-17 or April 20-21) for a site visit to Crusoe.",
13,mopo-013.pdf,,"Heather Tazalla (Crusoe) replies regarding Commissioners' travel availability — March 27, 2026",27-Mar-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Heather Tazalla (Crusoe) replies to the Commission's stated availability, restating the same April 14/16-17/20-21 windows.",
14,mopo-014.pdf,,"Callaway Commission discusses stakeholder meeting logistics with Crusoe team — April 3, 2026",3-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission thanks Heather Tazalla for clarifying meeting details; copies Bates-Janigo, Workman, Brady, George.",
15,mopo-015.pdf,,"Callaway Commission thanks Crusoe team for clarification — April 3, 2026",3-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission thanks ""Myra"" and Heather Tazalla; copies same Crusoe team members.",
16,mopo-016.pdf,,"Callaway Commission asks Crusoe about meeting time for the 22nd — April 3, 2026",3-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission asks what time the meeting will be on the 22nd; copies same group.,
17,mopo-017.pdf,,Crusoe discusses site visit logistics and stakeholder group scheduling,3-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Discussion of logistics for a site visit, referencing coordination with Commissioner Jungermann and a request for dates that would work for a larger group tour.",
18,mopo-018.pdf,,"Heather Tazalla (Crusoe) discusses stakeholder meeting timing with Commission — April 3, 2026",3-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Heather Tazalla (Crusoe) discusses stakeholder group meeting timing, noting Commissioners had a view on scheduling.",
19,mopo-019.pdf,,"Heather Tazalla (Crusoe) follows up with Callaway Commission — April 6, 2026",6-Apr-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,Heather Tazalla (Crusoe) follows up with Callaway Commission and same Crusoe team.,
20,mopo-020.pdf,,"Callaway Commission internal email — April 6, 2026",6-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission internal note, no substantial body text.",
21,mopo-021.pdf,,"Commissioner Gary Jungermann accepts Crusoe follow-up meeting invite — April 8, 2026",8-Apr-26,Callaway County Commissioners,Gary Jungermann,Missouri Protest Organization,Sunshine Request,Data Center,Received,Commissioner Gary Jungermann accepts the Crusoe Follow Up meeting invite.,
22,mopo-022.pdf,,"Callaway Commission relays public inquiries about upcoming meeting to Tamara Tateosian — April 13, 2026",13-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission relays to Tamara Tateosian that Gary Jungermann is fielding calls from the Electric Company and Water District about the meeting, and needs a confirmed time for the 22nd.",
23,mopo-023.pdf,,"Callaway Commission responds to Conor Bates-Janigo (Crusoe) meeting request — April 15, 2026",15-Apr-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,Callaway Commission responds to Conor Bates-Janigo's (Crusoe) meeting request.,
24,mopo-024.pdf,,"Lucas Workman (Crusoe) emails Commissioner Gary Jungermann — May 5, 2026",5-May-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,Lucas Workman (Crusoe) emails Commissioner Gary Jungermann; copies Jody Paschal and Allen Storm.,
25,mopo-025.pdf,,Callaway Commission forwards Crusoe Chapter 100 bond proposal,11-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission forwards a file titled ""Crusoe_Chapter100_Proposal_CallawayCounty.pdf.""",
26,mopo-026.pdf,,"Crusoe Technologies formally requests Chapter 100 Industrial Development Bond agreement — May 8, 2026",8-May-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Crusoe Technologies LLC formally submits a request to Callaway County Commissioners for a Chapter 100 Industrial Development Revenue Bond agreement, dated May 8, 2026.",
27,mopo-027.pdf,,"Callaway Commission circulates tax abatement documents (85% Public versions) — May 11, 2026",11-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Callaway Commission circulates two versions of a ""85% Public"" tax abatement document; Heather Tazalla and Conor Bates-Janigo copied.",
28,mopo-028.pdf,,Heather Tazalla (Crusoe) asks Commissioner Jungermann about fencing example,11-May-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,Heather Tazalla (Crusoe) asks Commissioner Jungermann for help locating a fencing example/precedent image.,
29,mopo-029.pdf,,"Lucas Workman (Crusoe) sends tax revenue estimates to Commission and Jungermann — May 8, 2026",8-May-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Lucas Workman (Crusoe) sends tax revenue estimates to Jungermann, Callaway Commission, Tazalla, and Bates-Janigo.",
30,mopo-030.pdf,,Crusoe tax revenue estimate: total new tax revenue post-abatement,8-May-26,Callaway County Commissioners,Crusoe AI,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Tax revenue estimate document showing total new tax revenue post-abatement, referencing Callaway County personal property and library figures.",
31,mopo-031.pdf,,"Calendar invite: Crusoe & GJ Call accepted — May 11, 2026",11-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Calendar confirmation for a ""Crusoe & GJ Call.""",
32,mopo-032.pdf,,"Callaway Commission confirms Crusoe & GJ Call — May 11, 2026",11-May-26,Callaway County Commissioners,Callaway Commission,Missouri Protest Organization,Sunshine Request,Data Center,Received,"Duplicate calendar confirmation for the same ""Crusoe & GJ Call.""",
