id,filename,url,title,date,agency,author,requester,request_type,topic,status,notes
1,2026-07-10-sheriff-maylee-response-to-cdw.pdf,,"Sheriff Maylee response to CDW questions on data center development, forwarded via Commissioner Scott",7/19/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Sheriff Darryl Maylee dismisses CDW's list of questions/concerns on data center development, threatens a county ordinance under 192.300 targeting mentally unstable people, drug users, or criminals. Forwarded by Commissioner Christopher Scott."
2,American Rivers April 26.pdf,,"American Rivers guide: Data Centers and Rivers, protecting clean water and river health for local governments",3-Dec-25,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"American Rivers guide covering data center impacts on rivers and community priorities for water-resilient data centers, aimed at local governments and river advocates."
3,Chpt 100 June 5th 2026.pdf,,"Chapter 100 Financial Information Worksheet, Crusoe Inc. Project",12/31/2028,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Chapter 100 Financial Information Worksheet for the Crusoe Inc. project, listing the project site address and multiple tax parcel ID numbers in Kingdom City."
4,Crusoe Chpt 100 5-8-26.pdf,,"Crusoe Technologies formally requests Chapter 100 Industrial Development Bond agreement, May 8, 2026",,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Crusoe Technologies LLC formally requests a Chapter 100 Industrial Development Revenue Bond agreement with Callaway County, dated May 8, 2026."
5,Crusoe Development Agreement.pdf,,Development Agreement between Callaway County and Crusoe,,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,Draft Development Agreement template between a county Board of Commissioners and a Special Project Entity/Developer; this copy's boilerplate references Jasper County rather than Callaway County.
6,Crusoe Impact Report 2024.pdf,,Crusoe's Impact 2024 report on AI and data center growth,,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,Crusoe's 2024 Impact report discussing AI-driven growth in global energy demand and framing for sustainable growth.
7,Crusoe Road Use and Maint agreement.pdf,,"Road Use and Maintenance Agreement, Crusoe",,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Draft Road Use and Maintenance Agreement between Callaway County and a redacted/blank limited liability company, address for the County listed as 10 East 5th Street, Fulton."
8,Fiscal Impact Requests.pdf,,"Callaway Commission email to Gary Jungermann and Curt Warfield re: fiscal impact, March 9, 2026",3/9/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Callaway Commission internal email notice that a fiscal impact request has been changed to ""Hard Due"" status, sent to Gary Jungermann and Curt Warfield, copying Christopher Scott, March 9, 2026."
9,Full Sunshine Request - Susie.pdf,,"Sunshine Request to Callaway County Clerk, July 10, 2026",4/13/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Sunshine Request letter to the Callaway County Clerk citing Missouri Sunshine Law Chapter 610 RSMo, dated July 10, 2026."
10,Hyperscale Data Centers Explination .pdf,,"Hyperscale Data Centers, a plain-language guide to the real tradeoffs",3/26/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Neutral, sourced explainer on hyperscale data centers covering electricity use and where new power comes from, dated May 2026."
11,Mary Vogelweid - Listing.pdf,,Commissioner Jungermann responds re: June 15 data center forum,6/17/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,Email to Commissioner Jungermann thanking the Commission for input at the June 15 data center forum and sharing information about data center water usage concerns.
12,Scan2026-08-30_204650.pdf,,"Sunshine Request to Callaway County Clerk, July 10, 2026 (second copy)",4/13/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Sunshine Request letter to the Callaway County Clerk citing Missouri Sunshine Law Chapter 610 RSMo, dated July 10, 2026 (second copy of the same letter)."
13,Scan2026-08-30_205152.pdf,,"Mark Grimm, Gilmore & Bell, follow-up call note",5/5/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Email from Mark D. Grimm of Gilmore & Bell, P.C. offering to discuss further by phone; standard law firm signature block and confidentiality notice attached."
14,Scan2026-09-03_170420.pdf,,"Road Use and Maintenance Agreement, Crusoe (second copy)",5/5/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,Draft Road Use and Maintenance Agreement between Callaway County and a redacted/blank limited liability company (second copy of the same draft).
15,Scan2026-09-03_172754.pdf,,"Crusoe Technologies formally requests Chapter 100 Industrial Development Bond agreement, May 8, 2026 (second copy)",5/15/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Crusoe Technologies LLC formally requests a Chapter 100 Industrial Development Revenue Bond agreement with Callaway County, dated May 8, 2026 (second copy of the same letter)."
16,Susan Burns Solar Legislation and such.pdf,,"Susan Burns email re: solar legislation, March 23, 2026",3/23/2026,,,Preserve Callaway County Missouri LLC,Sunshine Request,Data Center,Received,"Susan Burns emails a group including Greg Crawford, Mary and Cathy Vogelweid, John and Joe Burns, and Curt Warfield, dated March 23, 2026, regarding solar legislation."
